Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
7.74,0.022898403,0.023492224,0.000130242
7.76,0.022913447,0.023477042,7.33E-05
7.78,0.022934784,0.023497181,-2.72E-05
7.8,0.022970704,0.023478127,5.58E-05
7.82,0.022897021,0.023510813,8.31E-05
7.84,0.022925727,0.023512672,5.55E-05
7.86,0.0229552,0.023456439,-3.44E-05
7.88,0.022890881,0.023496097,0.000125333
7.9,0.022912372,0.023502603,4.16E-05
7.92,0.022878601,0.023518559,9.51E-06
7.94,0.022892877,0.023489435,7.76E-05
7.96,0.022900092,0.023493928,7.24E-05
7.98,0.022886123,0.023497491,-2.59E-05
8,0.022816278,0.023461706,3.51E-05
8.02,0.022853119,0.023515616,0.000163531
8.04,0.022917284,0.023475958,1.55E-05
8.06,0.022896407,0.023492069,-1.58E-05
8.08,0.022844523,0.023496097,0.000102935
8.1,0.022927876,0.02348959,2.85E-05
8.12,0.022883666,0.023497491,4.86E-05
8.14,0.022906692,0.023440483,8.91E-05
8.16,0.022926494,0.023531107,-6.29E-06
8.18,0.022900399,0.023515306,8.58E-05
8.2,0.022941231,0.023503532,1.53E-06
8.22,0.022920815,0.023487886,4.28E-05
8.24,0.022938161,0.023469297,0.000103242
8.26,0.022862022,0.023493153,4.30E-06
8.28,0.022907767,0.023500744,6.04E-05
8.3,0.022923117,0.023486337,1.70E-05
8.32,0.022921889,0.023501519,7.42E-05
8.34,0.022896868,0.023483704,0.0001126
8.36,0.022858799,0.023497336,-5.69E-05
8.38,0.022861869,0.023473944,7.64E-05
8.4,0.022875838,0.023460312,8.27E-05
8.42,0.022835312,0.023535134,4.76E-06
8.44,0.022929718,0.023473325,7.30E-05
8.46,0.022831782,0.023528938,7.18E-05
8.48,0.022873382,0.023494238,1.84E-06
8.5,0.022896407,0.023470846,4.17E-05
8.52,0.02287768,0.023505701,8.45E-05
8.54,0.022974081,0.023473634,4.51E-05
8.56,0.022903008,0.023520263,9.51E-05
8.58,0.022943994,0.023510658,-2.39E-05
8.6,0.022986976,0.023477352,1.26E-05
8.62,0.022899171,0.023500589,7.26E-05
8.64,0.022945376,0.023492069,7.26E-05
8.66,0.022901166,0.023456749,4.08E-05
8.68,0.022857417,0.023484943,5.65E-05
8.7,0.022881364,0.023503997,1.84E-05
8.72,0.02286939,0.023487731,1.24E-05
8.74,0.022842527,0.023483084,7.59E-05
8.76,0.02284529,0.023484168,0.000144048
8.78,0.022864018,0.023486647,-1.63E-05
8.8,0.022825948,0.023478127,4.46E-05
8.82,0.022914982,0.023501828,1.99E-05
8.84,0.02294077,0.02349873,4.86E-05
8.86,0.022918359,0.023493773,0.000131469
8.88,0.022887351,0.023505391,-2.91E-06
8.9,0.022941231,0.023508954,6.20E-05
8.92,0.022904083,0.023498885,-4.94E-05
8.94,0.022931714,0.023466973,9.89E-05
8.96,0.022971472,0.023498265,6.92E-05
8.98,0.02286939,0.023501364,4.59E-05
9,0.022882438,0.023493463,5.06E-05
9.02,0.022921889,0.023488196,2.16E-05
9.04,0.022920047,0.023466508,4.66E-05
9.06,0.022887351,0.02350787,8.05E-05
9.08,0.022881057,0.023486492,5.60E-05
9.1,0.022842066,0.023479211,2.33E-05
9.12,0.022877373,0.023503997,3.14E-05
9.14,0.022917898,0.023466199,5.20E-05
9.16,0.022872921,0.023497801,9.22E-05
9.18,0.022869083,0.023489281,-6.44E-06
9.2,0.022848514,0.023511123,0.000107384
9.22,0.022877219,0.023498265,-1.41E-05
9.24,0.02292542,0.023494857,0.000106924
9.26,0.022932788,0.023502138,6.29E-06
9.28,0.022888272,0.023492998,7.65E-05
9.3,0.022916824,0.023482774,3.22E-05
9.32,0.022928951,0.02348959,9.82E-06
9.34,0.022907306,0.023511123,0.00010539
9.36,0.022957349,0.023454116,-3.33E-05
9.38,0.022961494,0.023527389,0.000152639
9.4,0.022887504,0.023460157,-6.67E-05
9.42,0.022852198,0.023488506,0.000119503
9.44,0.022834852,0.023481535,3.42E-05
9.46,0.022897942,0.023500124,5.40E-05
9.48,0.022902701,0.023469762,5.86E-05
9.5,0.022849435,0.023485408,4.36E-05
9.52,0.022853579,0.023519178,2.91E-06
9.54,0.022844216,0.023471001,8.08E-05
9.56,0.022871079,0.02350694,7.70E-05
9.58,0.022930332,0.023458143,1.75E-05
9.6,0.022897482,0.02352491,9.43E-05
9.62,0.022924652,0.023509264,-4.66E-05
9.64,0.022899938,0.023498265,6.54E-05
9.66,0.02293463,0.023493153,0.000101401
9.68,0.0229552,0.023488661,6.52E-05
9.7,0.022900706,0.02348169,-1.23E-05
9.72,0.022912065,0.023496561,5.26E-05
9.74,0.022916363,0.023525995,7.30E-05
9.76,0.022921582,0.023465424,2.38E-05
9.78,0.022910069,0.023509109,5.86E-05
9.8,0.022879368,0.023461551,3.80E-05
9.82,0.022862943,0.023480915,5.81E-05
9.84,0.022854961,0.023479831,4.68E-05
9.86,0.022875991,0.023475803,5.14E-05
9.88,0.02286893,0.023501983,4.53E-05
9.9,0.02289564,0.023474564,5.22E-05
9.92,0.022862176,0.023490055,6.34E-05
9.94,0.022836387,0.023484323,-8.13E-06
9.96,0.022907306,0.023495942,0.000115821
9.98,0.022863711,0.023488351,5.98E-05
10,0.02296088,0.02352553,-5.83E-06
10.02,0.022929411,0.023491449,3.62E-05
10.04,0.022912065,0.023518249,7.27E-05
10.06,0.022942613,0.023512053,5.34E-05
10.08,0.022944455,0.023502603,1.30E-05
10.1,0.022900552,0.023495322,0.000110606
10.12,0.022966099,0.023483084,-1.10E-05
10.14,0.022901627,0.02349904,-4.83E-05
10.16,0.022875377,0.023502913,0.000236705
10.18,0.02288382,0.023486957,-3.42E-05
10.2,0.02285143,0.023465734,5.88E-05
10.22,0.022872768,0.02347317,1.79E-05
10.24,0.022843141,0.023496871,6.64E-05
10.26,0.022846211,0.023461551,8.12E-05
10.28,0.022860641,0.023470381,2.15E-06
10.3,0.022891188,0.023500434,0.000139446
10.32,0.022846825,0.023460777,-2.44E-05
10.34,0.022895026,0.023512207,-1.50E-05
10.36,0.022948139,0.023487731,0.000125946
10.38,0.022932942,0.023470381,9.34E-05
10.4,0.022922196,0.02349966,2.24E-05
10.42,0.022968708,0.023486027,-2.30E-06
10.44,0.022893337,0.02354288,1.53E-06
10.46,0.022986515,0.023467438,0.000151258
10.48,0.022890574,0.023514221,1.89E-05
10.5,0.022869237,0.023519953,1.38E-05
10.52,0.02290178,0.023460777,3.37E-05
10.54,0.022836233,0.023535909,0.000133156
10.56,0.022936319,0.0234631,-5.29E-05
10.58,0.022848207,0.023508799,0.000109225
10.6,0.022814896,0.023520883,6.15E-05
10.62,0.022900399,0.023478282,2.02E-05
10.64,0.022889039,0.023471466,5.23E-05
10.66,0.022948753,0.023424992,2.41E-05
10.68,0.022889807,0.023510658,0.000132389
10.7,0.02286893,0.023496406,-3.28E-05
10.72,0.022930179,0.023468832,5.80E-05
10.74,0.02292281,0.023483549,5.75E-05
10.76,0.022960726,0.023483084,6.38E-05
10.78,0.022845444,0.023493618,-8.90E-06
10.8,0.022874763,0.023491449,0.00014006
10.82,0.022956735,0.023496561,-7.36E-06
10.84,0.022869697,0.023495942,5.02E-05
10.86,0.022909916,0.023503687,1.46E-05
10.88,0.02291053,0.023509419,7.72E-05
10.9,0.022894105,0.023484168,9.65E-05
10.92,0.022897328,0.023484323,-2.73E-05
10.94,0.022876759,0.023509729,6.89E-05
10.96,0.022908688,0.023489745,3.90E-05
10.98,0.022893491,0.023471775,8.02E-05
11,0.022898096,0.023497801,3.73E-05
11.02,0.022826409,0.023498265,2.72E-05
11.04,0.022879829,0.023493928,6.90E-05
11.06,0.022901473,0.023487576,4.62E-05
11.08,0.02289564,0.023487576,4.31E-05
11.1,0.022913754,0.023480451,5.89E-05
11.12,0.022875377,0.023480296,1.60E-05
11.14,0.022931714,0.023491604,5.26E-05
11.16,0.022985748,0.023482,3.65E-05
11.18,0.022931714,0.023501209,9.45E-05
11.2,0.022924652,0.023465424,1.41E-05
11.22,0.022923271,0.023507405,4.34E-05
11.24,0.022903776,0.023495942,2.96E-05
11.26,0.022901473,0.023474874,4.57E-05
11.28,0.022865092,0.023503532,9.62E-05
11.3,0.022881517,0.023494548,3.05E-05
11.32,0.022833777,0.023489281,5.88E-05
11.34,0.022811672,0.023509884,3.50E-05
11.36,0.022898096,0.023482774,8.28E-06
11.38,0.022915596,0.023485253,0.000106464
11.4,0.022882745,0.023465114,4.56E-05
