Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
11.48,-0.015848488,,
11.5,-0.015883768,,
11.52,-0.015839437,,
11.54,-0.015827779,,
11.56,-0.015869349,,
11.58,-0.015860606,,
11.6,-0.01585539,,
11.62,-0.015860452,,
11.64,-0.01585539,,
11.66,-0.015875792,,
11.68,-0.015851555,,
11.7,-0.015880854,,
11.72,-0.015856924,,
11.74,-0.015896654,,
11.76,-0.015867969,,
11.78,-0.015851402,,
11.8,-0.01583821,,
11.82,-0.015865514,,
11.84,-0.015875178,,
11.86,-0.015824711,,
11.88,-0.015834682,,
11.9,-0.01585539,,
11.92,-0.015857078,,
11.94,-0.015843119,,
11.96,-0.01587211,,
11.98,-0.015867815,,
12,-0.015860759,,
12.02,-0.015873491,,
12.04,-0.015871804,,
12.06,-0.015868582,,
12.08,-0.015884075,,
12.1,-0.015861373,,
12.12,-0.015854777,,
12.14,-0.015861373,,
12.16,-0.015842965,,
12.18,-0.015838057,,
12.2,-0.015857538,,
12.22,-0.015845573,,
12.24,-0.015853396,,
12.26,-0.01586168,,
12.28,-0.015861986,,
12.3,-0.0158626,,
12.32,-0.015865821,,
12.34,-0.015855851,,
12.36,-0.015883308,,
12.38,-0.015842505,,
12.4,-0.015869656,,
12.42,-0.015882695,,
12.44,-0.015841125,,
12.46,-0.015866281,,
12.48,-0.015856157,,
12.5,-0.01587027,,
12.52,-0.015858458,,
12.54,-0.015853703,,
12.56,-0.015857691,,
12.58,-0.015854317,,
12.6,-0.0158468,,
12.62,-0.01585447,,
12.64,-0.015864747,,
12.66,-0.015858305,,
12.68,-0.015855237,,
12.7,-0.015867662,,
12.72,-0.015862293,,
12.74,-0.015859379,,
12.76,-0.015882388,,
12.78,-0.01587027,,
12.8,-0.015855237,,
12.82,-0.01586214,,
12.84,-0.015865821,,
12.86,-0.015849868,,
12.88,-0.015833301,,
12.9,-0.015856771,,
12.92,-0.015864594,,
12.94,-0.015832688,,
12.96,-0.015856771,,
12.98,-0.015844499,,
13,-0.015867509,,
13.02,-0.015875178,,
13.04,-0.015852322,,
13.06,-0.015884075,,
13.08,-0.015868889,,
13.1,-0.01587211,,
13.12,-0.015866435,,
13.14,-0.015871957,,
13.16,-0.015852936,,
13.18,-0.01588024,,
13.2,-0.015837136,,
13.22,-0.015835449,,
13.24,-0.015890978,,
13.26,-0.015850942,,
13.28,-0.015814127,,
13.3,-0.015876252,,
13.32,-0.015878706,,
13.34,-0.015826552,,
13.36,-0.015848181,,
13.38,-0.015848027,,
13.4,-0.015899722,,
13.42,-0.015824865,,
13.44,-0.0158468,,
13.46,-0.015883001,,
13.48,-0.015859685,,
13.5,-0.015859532,,
13.52,-0.015883462,,
13.54,-0.015871037,,
13.56,-0.015845573,,
13.58,-0.015875332,,
13.6,-0.01587211,,
13.62,-0.015827012,,
13.64,-0.015887757,,
13.66,-0.015865514,,
13.68,-0.015802776,,
13.7,-0.015875485,,
13.72,-0.015841278,,
13.74,-0.015873031,,
13.76,-0.015852016,,
13.78,-0.01581382,,
13.8,-0.01591184,,
13.82,-0.015877633,,
13.84,-0.015844039,,
13.86,-0.015877326,,
13.88,-0.015869349,,
13.9,-0.015887757,,
13.92,-0.015836369,,
13.94,-0.015861526,,
13.96,-0.0158626,,
13.98,-0.015853396,,
14,-0.015850635,,
14.02,-0.015837903,,
14.04,-0.015838824,,
14.06,-0.015885916,,
14.08,-0.015853856,,
14.1,-0.015843119,,
14.12,-0.015847414,,
14.14,-0.015864594,,
14.16,-0.015897421,,
14.18,-0.015830694,,
14.2,-0.015847874,,
14.22,-0.015884996,,
14.24,-0.015869196,,
14.26,-0.015871957,,
14.28,-0.015848794,,
14.3,-0.015866281,,
14.32,-0.015886683,,
14.34,-0.015858765,,
